poster,post_count,mean_votes,mean_comments,total_votes,total_comments,posts_with_comments_count,conversations_sparked,is_usver,ever_usver,percent_of_posts_with_comments
martinshen,3,3.0,0.33,9,1,1,0,False,False,0.33
marvindanig,1,6.0,2.0,6,2,1,0,False,False,1.0
matsutanitadaok,1,1.0,0.0,1,0,0,0,False,False,0.0
mattamyers,8,1.88,1.25,15,10,3,1,False,False,0.38
mattcantstop,1,1.0,0.0,1,0,0,0,False,False,0.0
matthewtarr,2,2.0,0.0,4,0,0,0,False,False,0.0
mattlangan,1,1.0,0.0,1,0,0,0,False,False,0.0
maxua,2,2.5,1.0,5,2,1,0,False,False,0.5
mcielecki,1,2.0,0.0,2,0,0,0,False,False,0.0
mcuasay,1,1.0,0.0,1,0,0,0,False,False,0.0
mdeiters,3,4.67,0.33,14,1,1,0,False,False,0.33
mfishbein,26,2.42,0.81,63,21,8,2,False,False,0.31
mhdempsey,4,3.0,0.25,12,1,1,0,False,False,0.25
mhills5340,1,5.0,1.0,5,1,1,0,False,False,1.0
mickey_graham,2,3.5,1.0,7,2,2,0,False,False,1.0
mikecollett,24,1.58,0.25,38,6,2,0,False,False,0.08
mikeriddell62,1,3.0,2.0,3,2,1,0,False,False,1.0
milesgrimshaw,2,8.0,15.0,16,30,1,1,False,False,0.5
minimaxir,1,2.0,0.0,2,0,0,0,False,False,0.0
mmakunas,1,5.0,0.0,5,0,0,0,False,False,0.0
mobiusbobs,1,1.0,0.0,1,0,0,0,False,False,0.0
moeadham,1,1.0,0.0,1,0,0,0,False,False,0.0
moot,10,6.2,3.7,62,37,8,4,False,False,0.8
morganb,3,6.33,0.33,19,1,1,0,False,False,0.33
morgantepell,1,3.0,0.0,3,0,0,0,False,False,0.0
moritzplassnig,2,3.5,0.0,7,0,0,0,False,False,0.0
mquirion,1,1.0,0.0,1,0,0,0,False,False,0.0
ms,2,3.0,1.5,6,3,1,0,False,False,0.5
msg,26,3.73,1.85,97,48,17,3,False,False,0.65
muneeb,4,4.75,6.0,19,24,1,1,False,False,0.25
muratny,1,3.0,2.0,3,2,1,0,False,False,1.0
muthu_bharathi,1,6.0,0.0,6,0,0,0,False,False,0.0
nakul,1,1.0,0.0,1,0,0,0,False,False,0.0
natasha__iman,1,8.0,0.0,8,0,0,0,False,False,0.0
natelately,1,3.0,2.0,3,2,1,0,False,False,1.0
nbt,1,6.0,5.0,6,5,1,1,False,False,1.0
nchirls,1,3.0,1.0,3,1,1,0,False,False,1.0
nehalm,1,21.0,3.0,21,3,1,0,False,False,1.0
nektra,29,1.24,0.07,36,2,2,0,False,False,0.07
new_techie,1,2.0,0.0,2,0,0,0,False,False,0.0
newhaircutco,23,1.26,0.13,29,3,2,0,False,False,0.09
newmediaclay,1,1.0,0.0,1,0,0,0,False,False,0.0
newrulesinvest,1,1.0,0.0,1,0,0,0,False,False,0.0
nickgrossman,295,3.18,2.19,939,647,127,37,True,True,0.43
niknir,1,1.0,0.0,1,0,0,0,False,False,0.0
nikrao,4,2.0,0.25,8,1,1,0,False,False,0.25
ninan99,9,1.33,0.33,12,3,2,0,False,False,0.22
nitinmittal,1,1.0,0.0,1,0,0,0,False,False,0.0
noah_weiss,2,6.5,0.0,13,0,0,0,False,False,0.0
nsbarr,1,1.0,0.0,1,0,0,0,False,False,0.0
nsftopstconvert,1,1.0,0.0,1,0,0,0,False,False,0.0
ntippmann,1,2.0,0.0,2,0,0,0,False,False,0.0
nullyn,1,1.0,0.0,1,0,0,0,False,False,0.0
omarqari,1,8.0,1.0,8,1,1,0,False,False,1.0
oneMchallenge,1,0.0,0.0,0,0,0,0,False,False,0.0
osetinsky,1,6.0,6.0,6,6,1,1,False,False,1.0
p_ngu,4,2.0,0.0,8,0,0,0,False,False,0.0
papadimitriou,7,2.57,0.71,18,5,1,1,False,False,0.14
parakhsaurab,2,1.0,0.0,2,0,0,0,False,False,0.0
patrickjmorris,11,3.09,2.73,34,30,5,2,False,False,0.45
peteramckay,2,2.0,0.0,4,0,0,0,False,False,0.0
peterrojas,1,6.0,4.0,6,4,1,0,False,False,1.0
peteyL,1,6.0,0.0,6,0,0,0,False,False,0.0
petkanics,1,2.0,1.0,2,1,1,0,False,False,1.0
petrikajander,2,1.5,0.0,3,0,0,0,False,False,0.0
philipbrown,14,1.79,0.79,25,11,4,0,False,False,0.29
pingupceo,1,1.0,0.0,1,0,0,0,False,False,0.0
pointsnfigures,574,1.55,0.47,891,267,96,16,False,False,0.17
ppearlman,11,3.27,3.73,36,41,3,2,False,False,0.27
