poster,post_count,mean_votes,mean_comments,total_votes,total_comments,posts_with_comments_count,conversations_sparked,is_usver,ever_usver,percent_of_posts_with_comments
LucasDailey,1,4.0,0.0,4,0,0,0,False,False,0.0
LukiBerlin,1,2.0,16.0,2,16,1,1,False,False,1.0
MJB_SF,1,7.0,1.0,7,1,1,0,False,False,1.0
MagemelloMario,1,1.0,0.0,1,0,0,0,False,False,0.0
MandyIWalker,1,22.0,2.0,22,2,1,0,False,False,1.0
MarcosMoralez,1,1.0,3.0,1,3,1,0,False,False,1.0
Marinperez,15,1.0,0.13,15,2,1,0,False,False,0.07
MarketingTechIQ,1,9.0,0.0,9,0,0,0,False,False,0.0
MassimoCw,2,2.5,0.5,5,1,1,0,False,False,0.5
Mattermark,1,1.0,0.0,1,0,0,0,False,False,0.0
Matthew_Reid,1,1.0,0.0,1,0,0,0,False,False,0.0
MeridocDaines,2,0.5,0.0,1,0,0,0,False,False,0.0
MerkleMerkle,1,1.0,0.0,1,0,0,0,False,False,0.0
Meshlakhani,2,2.5,0.5,5,1,1,0,False,False,0.5
MichealMartin,1,1.0,0.0,1,0,0,0,False,False,0.0
MikeAdeleke,1,1.0,0.0,1,0,0,0,False,False,0.0
Moblized,4,7.25,0.0,29,0,0,0,False,False,0.0
MsPseudolus,15,4.2,6.33,63,95,9,4,False,False,0.6
NTmoney,5,1.2,0.0,6,0,0,0,False,False,0.0
NYC_StartupGrrl,5,4.0,0.0,20,0,0,0,False,False,0.0
NYStartupLab,1,4.0,0.0,4,0,0,0,False,False,0.0
N_Clemmons,12,1.5,1.17,18,14,3,1,False,False,0.25
Naterock101,1,1.0,0.0,1,0,0,0,False,False,0.0
Nivo0o0,4,1.5,1.5,6,6,2,0,False,False,0.5
OAuth_io,2,7.0,0.0,14,0,0,0,False,False,0.0
OguzSerdar,1,8.0,2.0,8,2,1,0,False,False,1.0
OnlineChat5,1,1.0,0.0,1,0,0,0,False,False,0.0
Orientadorweb,2,1.0,0.0,2,0,0,0,False,False,0.0
PaintSprayerEL,1,1.0,0.0,1,0,0,0,False,False,0.0
Petalbumnet,1,1.0,2.0,1,2,1,0,False,False,1.0
PeterKimFrank,1,4.0,5.0,4,5,1,1,False,False,1.0
PhilDeMoss,1,1.0,0.0,1,0,0,0,False,False,0.0
PrashobMenon,2,1.5,0.0,3,0,0,0,False,False,0.0
Prijector,1,27.0,0.0,27,0,0,0,False,False,0.0
QuantSavvy,1,1.0,2.0,1,2,1,0,False,False,1.0
RARADESIGN,1,1.0,0.0,1,0,0,0,False,False,0.0
RCharlesWhite,1,1.0,0.0,1,0,0,0,False,False,0.0
REFVerify,1,1.0,0.0,1,0,0,0,False,False,0.0
R_Foucault,2,3.0,0.0,6,0,0,0,False,False,0.0
RealAlexfortin,5,1.2,0.0,6,0,0,0,False,False,0.0
RezaC1,162,3.2,0.3,519,48,28,1,False,False,0.17
RicardoGarciaAm,1,3.0,0.0,3,0,0,0,False,False,0.0
RiseoftheDEO,1,1.0,0.0,1,0,0,0,False,False,0.0
Robert48033664,2,0.5,0.0,1,0,0,0,False,False,0.0
RockThePost1,6,2.67,0.5,16,3,2,0,False,False,0.33
RoriponC,2,1.0,0.0,2,0,0,0,False,False,0.0
SEOSlides,1,2.0,0.0,2,0,0,0,False,False,0.0
Sami12457812,1,1.0,0.0,1,0,0,0,False,False,0.0
SamreenTayyaba,1,2.0,0.0,2,0,0,0,False,False,0.0
SandersAK,2,2.5,0.0,5,0,0,0,False,False,0.0
Saul_Lieberman,1,2.0,3.0,2,3,1,0,False,False,1.0
ScottABarnett,1,2.0,2.0,2,2,1,0,False,False,1.0
SergeyNazarov,1,3.0,0.0,3,0,0,0,False,False,0.0
SophiaIsla1,1,1.0,0.0,1,0,0,0,False,False,0.0
SparksZilla,2,1.5,0.0,3,0,0,0,False,False,0.0
Stanimiroff,2,1.0,0.0,2,0,0,0,False,False,0.0
StefanoZorzi,2,1.5,1.0,3,2,1,0,False,False,0.5
StevanPopo,1,1.0,0.0,1,0,0,0,False,False,0.0
Stevevargerson,2,1.0,0.0,2,0,0,0,False,False,0.0
StreetEYE,2,5.5,2.5,11,5,2,0,False,False,1.0
StrictlyVC,8,1.25,0.0,10,0,0,0,False,False,0.0
SusiGroh,1,2.0,0.0,2,0,0,0,False,False,0.0
SwiftAlphaOne,2,8.0,1.5,16,3,1,0,False,False,0.5
THE_REAL_MOOT,1,1.0,0.0,1,0,0,0,False,False,0.0
Talentral,1,2.0,0.0,2,0,0,0,False,False,0.0
TanyaPrive1,1,0.0,0.0,0,0,0,0,False,False,0.0
TeachingAway,2,2.0,0.5,4,1,1,0,False,False,0.5
TeamgumHQ,1,1.0,0.0,1,0,0,0,False,False,0.0
Teemu,2,4.0,0.5,8,1,1,0,False,False,0.5
TheVaunter,1,1.0,0.0,1,0,0,0,False,False,0.0
TheZainPasha,1,2.0,0.0,2,0,0,0,False,False,0.0
ThisIsJoshVarty,1,1.0,0.0,1,0,0,0,False,False,0.0
TimOsterbuhr,1,2.0,0.0,2,0,0,0,False,False,0.0
TomLabus,294,1.54,0.47,453,137,55,8,False,False,0.19
TomLimongello,2,1.5,0.0,3,0,0,0,False,False,0.0
TravelinTweeter,3,2.0,0.33,6,1,1,0,False,False,0.33
TrevorHLynn,1,2.0,0.0,2,0,0,0,False,False,0.0
TrishKundla,1,1.0,0.0,1,0,0,0,False,False,0.0
TsaikhEn,1,1.0,2.0,1,2,1,0,False,False,1.0
UnethicalHacks,1,2.0,0.0,2,0,0,0,False,False,0.0
VanierRachel,2,2.5,0.0,5,0,0,0,False,False,0.0
VaughnBlake,1,2.0,0.0,2,0,0,0,False,False,0.0
Veruschia,2,2.5,0.0,5,0,0,0,False,False,0.0
VideoStir,2,1.0,0.0,2,0,0,0,False,False,0.0
Vintage141,3,2.67,1.33,8,4,2,0,False,False,0.67
Wampler1980,1,1.0,0.0,1,0,0,0,False,False,0.0
Werner,1,6.0,2.0,6,2,1,0,False,False,1.0
Wishberry_in,1,1.0,1.0,1,1,1,0,False,False,1.0
Yaniv_Navot,6,1.33,0.17,8,1,1,0,False,False,0.17
YeleBademosi,1,1.0,0.0,1,0,0,0,False,False,0.0
ZReitano,3,8.67,13.67,26,41,3,2,False,False,1.0
ZachTest4,9,1.0,0.0,9,0,0,0,False,False,0.0
Zawalsky,2,1.0,0.0,2,0,0,0,False,False,0.0
_DanFriedman,2,4.5,2.0,9,4,1,0,False,False,0.5
__ishaan,1,34.0,0.0,34,0,0,0,False,False,0.0
__nil,1,4.0,0.0,4,0,0,0,False,False,0.0
_mcarroll_,1,1.0,0.0,1,0,0,0,False,False,0.0
_pius,1,2.0,0.0,2,0,0,0,False,False,0.0
_trendspotter,25,2.2,1.44,55,36,8,2,False,False,0.32
_zachary,8,1.25,0.0,10,0,0,0,False,False,0.0
abdallahalhakim,32,1.41,0.22,45,7,5,0,False,False,0.16
abestanway,1,1.0,0.0,1,0,0,0,False,False,0.0
acremades,34,2.85,0.09,97,3,2,0,False,False,0.06
adafruit,1,2.0,0.0,2,0,0,0,False,False,0.0
adamklaff,1,16.0,12.0,16,12,1,1,False,False,1.0
adamludwin,1,4.0,2.0,4,2,1,0,False,False,1.0
adamquinton,1,5.0,5.0,5,5,1,1,False,False,1.0
adatta02,2,2.0,0.0,4,0,0,0,False,False,0.0
adisimone,1,2.0,2.0,2,2,1,0,False,False,1.0
adrianh,1,1.0,0.0,1,0,0,0,False,False,0.0
adrianscottcom,2,3.5,4.0,7,8,2,1,False,False,1.0
adsy_me,12,2.17,2.75,26,33,5,1,False,False,0.42
afwentz,5,6.6,0.4,33,2,2,0,False,False,0.4
ahemorrhoidfix,1,1.0,0.0,1,0,0,0,False,False,0.0
ajt,2,4.5,1.5,9,3,2,0,False,False,1.0
akennada,1,3.0,0.0,3,0,0,0,False,False,0.0
alanwarms,1,4.0,0.0,4,0,0,0,False,False,0.0
albertwenger,143,3.76,2.97,537,424,56,19,True,True,0.39
alekseykorzun,2,2.0,0.0,4,0,0,0,False,False,0.0
alex_squify,1,1.0,0.0,1,0,0,0,False,False,0.0
alexiskold,2,4.5,4.0,9,8,2,1,False,False,1.0
almccann,24,2.5,1.21,60,29,7,2,False,False,0.29
aminTorres,3,2.0,4.67,6,14,2,2,False,False,0.67
amlewis4,2,2.0,0.5,4,1,1,0,False,False,0.5
andrewcassetti,1,1.0,0.0,1,0,0,0,False,False,0.0
andrewparker,7,1.71,0.0,12,0,0,0,False,False,0.0
andyellwood,1,2.0,0.0,2,0,0,0,False,False,0.0
anigam,2,1.0,0.0,2,0,0,0,False,False,0.0
annelibby,31,3.61,2.58,112,80,12,7,False,False,0.39
annice_t,1,1.0,0.0,1,0,0,0,False,False,0.0
arctictony,1,3.0,0.0,3,0,0,0,False,False,0.0
arikan,1,2.0,1.0,2,1,1,0,False,False,1.0
asankhaya,2,1.5,1.5,3,3,1,0,False,False,0.5
asanwal,14,1.93,0.71,27,10,2,1,False,False,0.14
asknbid,1,1.0,0.0,1,0,0,0,False,False,0.0
athomasq,1,3.0,1.0,3,1,1,0,False,False,1.0
avlidienbrunn,1,1.0,0.0,1,0,0,0,False,False,0.0
avneeshk91,2,3.5,3.0,7,6,2,0,False,False,1.0
awaldstein,19,3.26,2.05,62,39,7,3,False,False,0.37
aweissman,452,3.23,1.52,1461,687,194,45,True,True,0.43
aztecmanager,1,2.0,6.0,2,6,1,1,False,False,1.0
badboyboyce,5,2.2,0.6,11,3,2,0,False,False,0.4
ballaballinger,2,6.0,4.5,12,9,2,1,False,False,1.0
ballmatthew,5,1.6,0.4,8,2,2,0,False,False,0.4
batnasan06,2,1.5,1.5,3,3,1,0,False,False,0.5
bcem22,1,3.0,1.0,3,1,1,0,False,False,1.0
bcmanning,1,6.0,4.0,6,4,1,0,False,False,1.0
ben_mathes,1,2.0,1.0,2,1,1,0,False,False,1.0
benln,2,3.5,1.5,7,3,1,0,False,False,0.5
bennypage,1,2.0,2.0,2,2,1,0,False,False,1.0
benwerd,1,3.0,0.0,3,0,0,0,False,False,0.0
bfeld,42,3.98,1.19,167,50,14,6,False,False,0.33
bharath_mohan,1,3.0,0.0,3,0,0,0,False,False,0.0
bijan,1,17.0,10.0,17,10,1,1,False,False,1.0
billmcneely,98,2.31,1.31,226,128,26,4,False,False,0.27
blairmacgregor,1,1.0,0.0,1,0,0,0,False,False,0.0
blibonline,1,3.0,0.0,3,0,0,0,False,False,0.0
borismsilver,1,3.0,1.0,3,1,1,0,False,False,1.0
bpedro,8,2.0,0.25,16,2,1,0,False,False,0.12
bpmilne,4,6.75,2.25,27,9,3,1,False,False,0.75
br_ttany,79,2.95,0.91,233,72,21,6,True,True,0.27
brianazzopardi,1,9.0,0.0,9,0,0,0,False,False,0.0
bsoist,1,1.0,2.0,1,2,1,0,False,False,1.0
bthdonohue,1,3.0,0.0,3,0,0,0,False,False,0.0
bwats,99,3.28,1.9,325,188,36,15,False,True,0.36
bwertz,9,7.11,2.67,64,24,6,3,False,False,0.67
byosko,1,6.0,8.0,6,8,1,1,False,False,1.0
c2prods,1,5.0,5.0,5,5,1,1,False,False,1.0
caithrin,1,0.0,0.0,0,0,0,0,False,False,0.0
cammacrae,16,3.44,2.06,55,33,7,2,False,False,0.44
candiceclark91,18,1.17,0.0,21,0,0,0,False,False,0.0
catfitz,1,3.0,0.0,3,0,0,0,False,False,0.0
cavepainting,1,0.0,0.0,0,0,0,0,False,False,0.0
cballou,2,7.5,0.0,15,0,0,0,False,False,0.0
ceonyc,5,0.0,0.0,0,0,0,0,False,True,0.0
cezinho,6,2.67,2.33,16,14,3,1,False,False,0.5
championsyedm,4,0.75,0.5,3,2,1,0,False,False,0.25
chintan39,2,1.0,0.0,2,0,0,0,False,False,0.0
christinacaci,17,3.88,2.53,66,43,8,3,False,True,0.47
christinamchoi,6,5.83,2.0,35,12,3,2,False,False,0.5
chrito,1,1.0,0.0,1,0,0,0,False,False,0.0
ciaranoleary,1,3.0,5.0,3,5,1,1,False,False,1.0
ckurdziel,3,4.0,4.0,12,12,2,1,False,False,0.67
clipperhouse,1,1.0,0.0,1,0,0,0,False,False,0.0
cloudswave1,10,0.8,0.0,8,0,0,0,False,False,0.0
cnivolle,3,2.67,0.0,8,0,0,0,False,False,0.0
coachwizard,1,1.0,6.0,1,6,1,1,False,False,1.0
coinfabrik,5,1.2,0.0,6,0,0,0,False,False,0.0
coreyeastman,1,1.0,0.0,1,0,0,0,False,False,0.0
craigtech,1,1.0,0.0,1,0,0,0,False,False,0.0
d_petz,3,1.0,0.0,3,0,0,0,False,False,0.0
d_ramsden,18,1.78,0.67,32,12,6,1,False,False,0.33
dancow,1,1.0,0.0,1,0,0,0,False,False,0.0
danieljones,1,1.0,0.0,1,0,0,0,False,False,0.0
dankaplan,2,1.0,0.0,2,0,0,0,False,False,0.0
danshipper,1,1.0,0.0,1,0,0,0,False,False,0.0
darkchyld88,1,1.0,0.0,1,0,0,0,False,False,0.0
darsolD,1,1.0,0.0,1,0,0,0,False,False,0.0
daryn,1,5.0,0.0,5,0,0,0,False,False,0.0
databigbang,219,1.31,0.21,286,47,28,2,False,False,0.13
daualset,7,2.14,0.29,15,2,2,0,False,False,0.29
davealevine,1,4.0,0.0,4,0,0,0,False,False,0.0
davefontenot,7,3.86,1.57,27,11,4,1,False,False,0.57
davehyndman,16,2.38,1.12,38,18,7,1,False,False,0.44
davemcclure,1,5.0,0.0,5,0,0,0,False,False,0.0
davewiner,7,3.71,3.57,26,25,5,2,False,False,0.71
daveying99,2,1.5,1.0,3,2,1,0,False,False,0.5
davidfeldt,2,1.0,0.0,2,0,0,0,False,False,0.0
davidfine,1,1.0,0.0,1,0,0,0,False,False,0.0
davidryal,1,2.0,0.0,2,0,0,0,False,False,0.0
deancollins,1,1.0,0.0,1,0,0,0,False,False,0.0
deepakravindran,1,1.0,0.0,1,0,0,0,False,False,0.0
demibrener,2,1.5,0.0,3,0,0,0,False,False,0.0
devinfosolutio1,1,1.0,0.0,1,0,0,0,False,False,0.0
dianeloviglio,1,2.0,2.0,2,2,1,0,False,False,1.0
digital_mrkting,2,1.0,0.0,2,0,0,0,False,False,0.0
digitalmarks,2,1.5,0.0,3,0,0,0,False,False,0.0
digitalwaveride,1,6.0,0.0,6,0,0,0,False,False,0.0
diymanik,5,1.2,0.0,6,0,0,0,False,False,0.0
djkn0x,3,6.67,2.67,20,8,2,0,False,False,0.67
dkaknes,1,0.0,0.0,0,0,0,0,False,False,0.0
dmitric,3,3.0,1.0,9,3,2,0,False,False,0.67
dnevogt,2,1.0,0.0,2,0,0,0,False,False,0.0
donnawhite,5,2.4,1.4,12,7,2,1,False,False,0.4
doof,2,2.0,1.0,4,2,1,0,False,False,0.5
dotmanish,1,5.0,3.0,5,3,1,0,False,False,1.0
drewmeyers,22,2.18,0.91,48,20,7,2,False,False,0.32
dsaezgil,1,2.0,0.0,2,0,0,0,False,False,0.0
dzello,2,7.0,0.5,14,1,1,0,False,False,0.5
eCash_com,1,1.0,0.0,1,0,0,0,False,False,0.0
eastdakota,2,6.0,1.5,12,3,2,0,False,False,1.0
ebellity,10,4.2,2.2,42,22,6,2,False,False,0.6
ediggs,3,1.67,0.33,5,1,1,0,False,False,0.33
edouardb_,1,1.0,0.0,1,0,0,0,False,False,0.0
ejo0,1,4.0,2.0,4,2,1,0,False,False,1.0
ekrubnivek,1,2.0,0.0,2,0,0,0,False,False,0.0
eliajf,2,2.0,2.0,4,4,1,0,False,False,0.5
eliotpierce,1,4.0,1.0,4,1,1,0,False,False,1.0
elvisds,2,2.5,1.0,5,2,1,0,False,False,0.5
equartey,1,2.0,0.0,2,0,0,0,False,False,0.0
ericelias,1,2.0,0.0,2,0,0,0,False,False,0.0
ericxtang,1,8.0,1.0,8,1,1,0,False,False,1.0
erlich,3,3.0,2.0,9,6,1,1,False,False,0.33
esayasg,1,1.0,0.0,1,0,0,0,False,False,0.0
eschuman,1,1.0,0.0,1,0,0,0,False,False,0.0
estherschindler,85,2.55,0.12,217,10,7,0,False,False,0.08
evan_van_ness,3,1.33,0.0,4,0,0,0,False,False,0.0
evgenktulu,5,1.2,1.2,6,6,1,1,False,False,0.2
extendNYC,1,1.0,0.0,1,0,0,0,False,False,0.0
falicon,58,3.83,4.26,222,247,30,12,False,False,0.52
famolari,10,2.8,0.7,28,7,4,0,False,False,0.4
fanez187,2,1.0,0.5,2,1,1,0,False,False,0.5
fazz,2,0.5,0.0,1,0,0,0,False,False,0.0
felixclack,1,1.0,0.0,1,0,0,0,False,False,0.0
fendien,1,2.0,0.0,2,0,0,0,False,False,0.0
forrestblount,2,2.0,1.0,4,2,1,0,False,False,0.5
fpalumbo,1,1.0,0.0,1,0,0,0,False,False,0.0
fractastical,1,3.0,0.0,3,0,0,0,False,False,0.0
francescgo,1,1.0,0.0,1,0,0,0,False,False,0.0
francoismat,23,2.65,0.74,61,17,7,1,False,False,0.3
fransreijnhoudt,1,1.0,0.0,1,0,0,0,False,False,0.0
fraser,1,12.0,16.0,12,16,1,1,False,False,1.0
fredrikarnander,3,2.33,0.33,7,1,1,0,False,False,0.33
fredwilson,542,3.43,1.46,1860,791,209,43,True,True,0.39
furilo,7,2.86,0.86,20,6,3,0,False,False,0.43
gameguy43,1,1.0,0.0,1,0,0,0,False,False,0.0
gaoprea,1,1.0,0.0,1,0,0,0,False,False,0.0
garychou,18,8.89,4.0,160,72,9,3,False,True,0.5
gaurabhmathure,1,1.0,0.0,1,0,0,0,False,False,0.0
gbattle,3,4.33,7.67,13,23,1,1,False,False,0.33
georgevaldes,2,2.0,1.5,4,3,2,0,False,False,1.0
gerstenzang,3,2.0,0.33,6,1,1,0,False,False,0.33
getAstu,2,1.5,0.5,3,1,1,0,False,False,0.5
getmetacos,1,1.0,0.0,1,0,0,0,False,False,0.0
getsnapcode,1,1.0,0.0,1,0,0,0,False,False,0.0
ggrinch,1,1.0,0.0,1,0,0,0,False,False,0.0
giffco,1,1.0,0.0,1,0,0,0,False,False,0.0
gillianarca,1,13.0,2.0,13,2,1,0,False,False,1.0
gillianim,1,8.0,4.0,8,4,1,0,False,False,1.0
glerouge,4,2.75,5.25,11,21,3,2,False,False,0.75
gphil,1,1.0,0.0,1,0,0,0,False,False,0.0
grapplica,1,5.0,3.0,5,3,1,0,False,False,1.0
graubart,2,6.0,2.5,12,5,2,0,False,False,1.0
greatsbrand,1,2.0,0.0,2,0,0,0,False,False,0.0
greenido,1,2.0,1.0,2,1,1,0,False,False,1.0
gregkieser,1,0.0,0.0,0,0,0,0,False,False,0.0
gregneuf,5,2.2,0.2,11,1,1,0,False,False,0.2
gripper,3,1.0,0.33,3,1,1,0,False,False,0.33
gtunc83,3,5.33,0.67,16,2,2,0,False,False,0.67
gubatron,1,1.0,0.0,1,0,0,0,False,False,0.0
guygamzu,1,2.0,3.0,2,3,1,0,False,False,1.0
hal_incandenza_,1,1.0,0.0,1,0,0,0,False,False,0.0
hausdorff_space,1,1.0,0.0,1,0,0,0,False,False,0.0
hauspoor,1,5.0,4.0,5,4,1,0,False,False,1.0
hershberg,6,3.33,1.17,20,7,3,1,False,False,0.5
heydjeff,2,3.5,1.0,7,2,1,0,False,False,0.5
heyitscb,1,1.0,0.0,1,0,0,0,False,False,0.0
hiltym,1,3.0,0.0,3,0,0,0,False,False,0.0
